Sector,CEO_Gender,Size,Security_Invest,Security_Breach_Att,Succ_Sec_Breaches,Sec_Rating,CEO_Sec_Exp,LOT_in_Business,Stock_Market
Health Care,Female,Medium,20,23,6,Medium,Medium,6,Yes
Health Care,Male,Small,124,29,6,High,Medium,9,No
Health Care,Male,Large,50,36,9,Medium,Medium,8,Yes
Banking,Female,Medium,74,72,13,High,High,25,Yes
Banking,Male,Small,17,53,19,Low,High,2,Yes
Health Care,Male,Large,218,84,36,Low,Medium,25,Yes
Hospitality,Male,Small,55,35,11,Low,Medium,6,Yes
Banking,Female,Small,23,19,13,Medium,Medium,2,Yes
Hospitality,Male,Large,64,70,34,Low,High,23,No
Banking,Male,Medium,15,24,10,Medium,Medium,6,Yes
Health Care,Male,Small,19,17,3,Medium,Low,4,No
Banking,Female,Small,20,27,6,Medium,Low,2,Yes
Hospitality,Male,Large,67,37,8,Medium,High,3,Yes
Banking,Male,Small,15,98,49,Low,Low,25,Yes
Hospitality,Male,Small,28,33,12,High,Medium,3,Yes
Hospitality,Female,Medium,51,103,38,Medium,High,25,No
Banking,Female,Large,59,77,18,High,Low,4,No
Health Care,Female,Small,18,63,20,Medium,Medium,3,Yes
Health Care,Male,Large,79,25,7,High,Low,2,Yes
Health Care,Female,Medium,16,23,12,Medium,High,5,Yes
Health Care,Male,Medium,29,16,5,High,Low,3,No
Hospitality,Male,Large,76,108,45,Low,Medium,10,Yes
Health Care,Male,Large,55,20,2,High,Medium,3,No
Banking,Male,Small,22,45,12,High,High,15,Yes
Banking,Female,Small,59,51,20,Low,Low,15,Yes
Banking,Male,Large,199,35,10,Medium,Medium,3,Yes
Banking,Male,Medium,72,70,22,High,Low,12,Yes
Hospitality,Male,Medium,18,56,18,Medium,Low,16,Yes
Banking,Male,Medium,26,32,9,Low,High,8,Yes
Health Care,Male,Large,107,39,18,High,Low,4,No
Hospitality,Male,Large,259,30,16,Low,High,5,Yes
Banking,Male,Large,47,40,9,High,High,13,No
Hospitality,Male,Medium,89,47,21,Low,High,3,Yes
Banking,Male,Small,45,32,8,Low,Medium,4,No
Health Care,Female,Medium,148,12,4,Low,Low,2,No
Banking,Male,Medium,18,19,4,Medium,Medium,5,Yes
Health Care,Female,Medium,31,10,2,High,High,1,No
Health Care,Female,Medium,36,42,23,Low,High,4,No
Banking,Female,Small,39,26,13,Low,Medium,4,Yes
Banking,Male,Medium,50,20,13,Medium,High,3,No
Health Care,Male,Medium,92,13,0,High,High,1,Yes
Health Care,Female,Large,144,32,6,Medium,High,6,Yes
Health Care,Male,Medium,17,50,21,Medium,Medium,17,Yes
Health Care,Male,Small,28,31,11,Medium,High,4,Yes
Banking,Male,Medium,32,21,10,Low,High,3,Yes
Hospitality,Male,Large,396,43,14,Medium,Low,3,No
Banking,Female,Medium,33,68,24,Medium,High,16,No
Health Care,Male,Medium,52,24,8,High,Low,7,No
Hospitality,Male,Medium,26,14,4,High,Medium,2,Yes
Banking,Male,Small,35,41,8,High,High,10,No
Banking,Male,Large,44,28,16,Medium,Medium,2,Yes
Banking,Male,Small,35,28,10,Medium,High,1,No
Banking,Male,Medium,81,39,16,Low,Medium,3,Yes
Health Care,Male,Small,12,12,1,High,Medium,2,No
Hospitality,Male,Small,29,27,10,Medium,Low,8,Yes
Health Care,Female,Medium,146,35,8,High,Medium,6,No
Hospitality,Male,Medium,21,53,17,Low,High,11,No
Banking,Male,Medium,22,45,10,High,Low,6,No
Health Care,Male,Large,69,22,2,High,Medium,5,Yes
Health Care,Male,Large,157,73,33,Low,Low,6,No
Hospitality,Female,Medium,42,23,5,High,High,5,No
Health Care,Female,Medium,38,13,1,High,Low,1,Yes
Hospitality,Male,Medium,18,34,11,High,High,10,Yes
Hospitality,Male,Medium,121,70,17,High,Medium,25,Yes
Hospitality,Male,Medium,29,44,18,Low,Low,5,No
Banking,Male,Large,48,19,3,High,High,5,Yes
Banking,Male,Small,25,18,3,High,Medium,1,No
Banking,Female,Large,63,53,20,Medium,Medium,18,Yes
Hospitality,Male,Small,27,62,25,Low,High,22,Yes
Banking,Female,Small,41,82,37,Low,Medium,14,No
Hospitality,Male,Small,62,35,14,Low,High,1,Yes
Health Care,Male,Medium,17,62,13,High,High,19,Yes
Banking,Male,Small,28,18,9,Low,Medium,1,No
Hospitality,Male,Large,63,49,19,Low,Medium,5,Yes
Health Care,Male,Large,30,45,17,Medium,Low,6,Yes
Banking,Male,Medium,70,62,22,Medium,High,15,No
Banking,Male,Medium,19,48,25,Low,High,12,No
Banking,Male,Large,37,53,18,Low,Medium,13,Yes
Banking,Male,Large,33,56,28,Low,Low,17,Yes
Health Care,Male,Medium,22,33,7,High,Low,6,Yes
Health Care,Male,Medium,21,51,17,Low,Medium,13,Yes
Hospitality,Male,Medium,29,39,11,Medium,Low,1,Yes
Health Care,Male,Medium,50,23,11,Low,High,5,Yes
Health Care,Male,Small,13,13,5,Low,High,1,Yes
Banking,Male,Medium,79,60,25,Medium,High,20,No
Health Care,Male,Small,21,82,35,Low,Low,25,Yes
Hospitality,Female,Medium,45,27,12,Low,High,1,Yes
Health Care,Male,Medium,15,28,9,Medium,High,7,Yes
Health Care,Male,Large,58,33,8,Medium,Low,4,Yes
Banking,Female,Large,30,31,7,High,Medium,4,Yes
Banking,Male,Medium,21,25,10,Low,High,5,Yes
Banking,Male,Medium,34,15,4,High,High,2,Yes
Hospitality,Female,Small,31,44,11,High,Low,2,Yes
Health Care,Male,Medium,20,37,9,High,Low,7,Yes
Health Care,Female,Small,46,27,9,Medium,Medium,1,No
Banking,Male,Small,17,65,19,High,High,8,No
Hospitality,Male,Medium,19,20,6,Low,High,4,Yes
Hospitality,Female,Small,22,50,20,Low,Low,15,Yes
Banking,Male,Small,32,35,20,Low,Low,8,Yes
Banking,Male,Large,311,35,12,High,High,10,No
Hospitality,Male,Small,25,37,13,Medium,High,1,Yes
Health Care,Male,Small,25,15,9,High,High,3,Yes
Banking,Male,Small,13,73,34,Low,High,25,Yes
Hospitality,Male,Small,48,22,11,High,Low,5,Yes
Health Care,Male,Small,17,62,19,High,High,4,Yes
Hospitality,Male,Large,115,64,20,High,Low,17,Yes
Health Care,Male,Small,72,28,6,Medium,High,1,No
Health Care,Male,Large,121,26,8,High,Medium,7,No
Banking,Male,Small,37,15,3,High,High,2,Yes
Hospitality,Female,Medium,45,41,10,Medium,High,4,Yes
Banking,Male,Medium,35,24,12,Medium,Low,2,Yes
Banking,Male,Medium,20,10,6,High,Low,1,Yes
Banking,Female,Medium,64,32,10,Medium,Medium,5,Yes
Hospitality,Female,Large,70,49,10,High,High,13,Yes
Hospitality,Male,Small,36,72,32,Low,High,25,Yes
Banking,Female,Medium,30,40,8,Medium,High,8,Yes
Banking,Male,Large,44,19,4,Low,Medium,4,Yes
Health Care,Female,Small,53,62,20,Medium,Low,12,Yes
Banking,Male,Small,22,36,18,Low,Low,6,Yes
Banking,Male,Small,62,47,11,High,Low,4,Yes
Hospitality,Male,Medium,125,20,7,Low,Medium,2,Yes
Health Care,Female,Small,56,50,10,High,High,13,Yes
Banking,Male,Small,15,43,18,High,Low,6,Yes
Health Care,Male,Medium,78,81,25,Medium,High,25,Yes
Health Care,Male,Medium,39,52,17,Low,Medium,13,No
Banking,Female,Small,18,31,12,Low,Low,5,Yes
Health Care,Female,Small,14,44,16,Medium,Medium,11,Yes
Hospitality,Male,Medium,26,44,20,Low,Medium,5,Yes
Hospitality,Male,Large,39,19,4,Medium,High,1,Yes
Hospitality,Male,Medium,16,56,14,High,Medium,6,Yes
Hospitality,Male,Large,305,74,36,Low,Low,17,Yes
Banking,Female,Medium,73,64,23,Medium,High,16,No
Health Care,Male,Small,45,58,14,High,High,7,No
Banking,Male,Medium,22,28,7,High,Medium,4,Yes
Banking,Male,Large,31,35,6,High,Low,1,No
Banking,Male,Medium,37,18,5,High,Low,3,Yes
Hospitality,Male,Large,114,70,27,Medium,Low,25,No
Health Care,Male,Large,235,51,16,High,Low,11,Yes
Banking,Male,Small,58,39,11,High,High,11,Yes
Hospitality,Male,Small,67,52,18,Medium,Low,12,Yes
Banking,Male,Small,18,28,15,Medium,Medium,8,Yes
Hospitality,Male,Medium,21,73,25,Medium,High,8,Yes
Banking,Male,Small,19,30,9,Medium,High,5,Yes
Health Care,Female,Large,39,19,6,Low,Low,5,Yes
Hospitality,Male,Small,52,59,18,Medium,Medium,17,Yes
Health Care,Male,Small,70,40,12,Medium,Low,4,No
Banking,Male,Small,21,74,31,Medium,Low,15,Yes
Hospitality,Male,Large,160,53,21,Low,Low,15,Yes
Banking,Male,Medium,17,39,14,High,Medium,12,Yes
Health Care,Male,Large,100,44,19,Low,Low,1,No
Health Care,Male,Large,76,71,35,Low,Medium,2,Yes
Banking,Male,Medium,26,17,2,Medium,Low,4,Yes
Hospitality,Male,Small,48,48,16,Medium,High,16,No
Health Care,Female,Small,17,62,23,Low,Medium,17,No
Hospitality,Female,Small,25,20,7,Medium,High,1,Yes
Hospitality,Male,Medium,55,30,9,High,Low,4,Yes
Banking,Male,Small,22,52,21,Medium,High,16,Yes
Banking,Male,Small,60,15,5,Medium,Medium,3,Yes
Health Care,Male,Medium,80,82,35,Low,Low,25,No
Health Care,Male,Medium,22,24,8,Medium,High,6,Yes
Hospitality,Female,Medium,34,70,15,High,High,23,Yes
Hospitality,Male,Medium,33,32,9,Medium,High,5,No
Hospitality,Female,Large,62,20,3,High,High,4,Yes
Health Care,Male,Medium,38,28,10,Medium,Low,4,Yes
Health Care,Female,Small,13,70,21,High,Low,18,Yes
Health Care,Male,Large,157,18,8,High,Medium,4,Yes
Health Care,Male,Large,51,43,9,High,Low,9,Yes
Hospitality,Male,Small,12,32,5,High,High,6,Yes
Banking,Male,Medium,53,66,20,Medium,Medium,23,Yes
Banking,Male,Medium,49,30,3,High,High,2,Yes
Health Care,Male,Small,114,25,10,Medium,Medium,5,Yes
Hospitality,Male,Large,109,15,0,High,Medium,2,Yes
Banking,Male,Small,22,29,6,Low,Low,7,Yes
Banking,Female,Large,220,31,9,High,Low,5,No
Hospitality,Male,Medium,30,22,7,High,High,1,Yes
Banking,Male,Medium,71,49,18,Low,High,16,Yes
Banking,Male,Small,22,58,15,High,Medium,4,Yes
Hospitality,Female,Small,13,27,2,High,High,6,No
Health Care,Male,Small,45,24,8,Medium,Medium,5,Yes
Hospitality,Male,Small,22,25,9,Medium,High,6,Yes
Banking,Male,Medium,29,11,5,Medium,Low,1,No
Health Care,Female,Large,108,102,36,Medium,Medium,14,No
Banking,Female,Medium,28,33,9,Low,Medium,4,Yes
Banking,Male,Large,37,57,26,Low,Medium,11,Yes
Health Care,Male,Medium,32,17,14,Low,Low,1,No
Hospitality,Male,Large,138,30,14,Low,Medium,6,Yes
Health Care,Male,Large,38,122,50,Low,Medium,20,No
Hospitality,Male,Small,32,22,3,High,Low,5,No
Hospitality,Male,Large,38,17,4,Medium,High,2,Yes
Banking,Female,Medium,17,12,0,High,High,1,No
Hospitality,Male,Large,59,51,23,Low,High,16,Yes
Banking,Male,Medium,50,30,9,Medium,Medium,3,No
Banking,Male,Medium,26,75,25,Medium,Low,25,Yes
Health Care,Male,Small,26,45,10,High,Medium,3,Yes
Hospitality,Female,Small,28,22,3,High,Low,6,No
Health Care,Male,Medium,75,26,9,High,Medium,5,Yes
Hospitality,Male,Large,136,39,18,Low,Low,1,No
Health Care,Male,Large,30,39,8,High,Medium,7,Yes
Hospitality,Male,Small,25,51,19,Medium,Low,9,Yes
Hospitality,Female,Large,96,40,11,High,Low,11,Yes
Hospitality,Male,Large,149,28,6,Medium,High,6,No
Banking,Female,Small,13,74,25,Medium,High,14,Yes
Health Care,Male,Small,36,57,25,Low,Medium,12,No
Banking,Female,Small,58,19,2,High,Low,2,Yes
Banking,Male,Large,48,23,6,Low,High,5,Yes
Hospitality,Female,Large,44,13,4,Low,High,2,No
Banking,Male,Small,27,41,22,Low,High,2,Yes
Health Care,Male,Small,94,49,10,High,Medium,10,Yes
Health Care,Male,Large,103,38,15,Medium,Low,7,No
Health Care,Male,Large,64,49,12,High,Low,8,Yes
Hospitality,Male,Large,31,71,18,High,High,11,No
Banking,Male,Medium,42,36,5,High,High,3,No
Health Care,Female,Small,22,27,10,High,Medium,5,Yes
Hospitality,Male,Medium,22,29,13,High,Low,8,No
Health Care,Female,Small,29,28,7,Medium,Medium,1,Yes
Health Care,Female,Large,56,48,25,Low,High,15,Yes
Health Care,Male,Medium,16,39,9,Medium,High,4,Yes
Banking,Male,Large,110,35,12,Medium,Medium,9,No
Hospitality,Male,Medium,58,72,28,Low,Low,25,No
Health Care,Male,Large,90,26,7,High,Low,6,Yes
Banking,Male,Small,57,16,4,Medium,High,2,Yes
Banking,Female,Medium,22,19,4,High,High,2,Yes
Hospitality,Male,Medium,26,13,8,Medium,Low,1,Yes
Health Care,Male,Small,27,40,17,Medium,Low,12,No
Health Care,Male,Large,33,21,6,Medium,Medium,3,Yes
Hospitality,Female,Medium,85,42,18,Medium,Medium,2,No
Banking,Male,Medium,37,35,12,High,Medium,11,Yes
Hospitality,Male,Large,54,19,11,Low,Medium,3,Yes
Health Care,Male,Large,70,39,14,Medium,High,8,Yes
Banking,Male,Medium,28,50,13,High,High,5,Yes
Hospitality,Female,Large,51,22,6,Medium,Low,4,Yes
Health Care,Female,Small,26,28,19,Low,Medium,6,No
Health Care,Male,Small,28,40,15,Medium,Low,4,Yes
Health Care,Male,Medium,34,56,24,Low,High,17,Yes
Health Care,Male,Medium,41,38,14,Medium,High,1,Yes
Hospitality,Male,Medium,65,18,5,High,Low,1,No
Banking,Male,Small,13,32,17,Medium,Low,5,No
Health Care,Male,Medium,69,24,10,Low,Low,2,Yes
Health Care,Male,Large,46,36,14,Medium,Medium,11,No
Health Care,Female,Medium,25,23,9,Low,Low,4,Yes
Health Care,Male,Large,87,18,0,High,Medium,3,Yes
Hospitality,Female,Large,262,34,11,Medium,Medium,4,No
Hospitality,Male,Small,12,52,15,High,Medium,2,Yes
Health Care,Male,Small,39,18,6,Medium,High,3,No
Hospitality,Female,Medium,54,25,2,High,Medium,7,No
Health Care,Male,Large,83,57,30,Low,High,16,Yes
Health Care,Male,Small,12,24,7,Low,Low,4,Yes
Health Care,Male,Small,35,17,5,Low,Low,4,Yes
Hospitality,Male,Large,37,77,23,Medium,Medium,13,Yes
Hospitality,Female,Medium,18,51,14,Medium,Medium,1,No
Banking,Female,Small,41,42,14,Medium,Low,3,No
Hospitality,Male,Small,42,24,7,High,Medium,5,Yes
Banking,Male,Large,167,28,10,Low,Low,8,No
Hospitality,Male,Large,30,25,10,Medium,High,2,Yes
Hospitality,Male,Small,23,24,8,High,Medium,5,Yes
Banking,Male,Medium,16,27,8,Medium,Medium,7,Yes
Hospitality,Male,Large,58,37,4,High,High,6,Yes
Banking,Male,Large,72,45,20,Medium,High,7,No
Banking,Male,Large,77,40,11,Medium,Medium,9,No
Health Care,Male,Medium,29,22,3,Low,Medium,4,No
Hospitality,Male,Large,110,20,3,High,Medium,1,Yes
Banking,Male,Small,25,23,7,High,Low,1,No
Hospitality,Female,Small,30,47,13,High,Low,16,Yes
Health Care,Female,Medium,67,40,10,Medium,Low,10,Yes
Banking,Male,Medium,21,50,6,High,High,12,No
Hospitality,Male,Large,54,64,23,Medium,Low,22,Yes
Banking,Female,Small,30,45,17,Medium,Low,12,Yes
Banking,Female,Large,121,38,12,High,Low,10,Yes
Hospitality,Female,Small,25,59,29,Low,Medium,9,No
Hospitality,Male,Medium,18,24,11,Low,Medium,3,Yes
Hospitality,Female,Small,124,77,24,Medium,High,25,Yes
Health Care,Male,Medium,55,28,5,High,Low,7,Yes
Health Care,Male,Large,110,61,20,Medium,High,3,Yes
Hospitality,Female,Medium,35,60,18,Medium,Medium,2,Yes
Banking,Male,Small,31,48,15,High,Medium,14,No
Health Care,Female,Medium,182,54,21,Medium,High,3,Yes
Banking,Male,Large,86,23,6,Low,High,1,No
Hospitality,Female,Small,18,42,13,Medium,Medium,5,Yes
Banking,Male,Small,95,43,16,High,High,14,Yes
Banking,Female,Small,31,19,12,Low,Medium,5,No
Health Care,Male,Large,31,52,18,Medium,Low,14,Yes
Health Care,Male,Medium,43,45,23,Low,Low,15,Yes
Health Care,Male,Small,13,80,32,Medium,Medium,16,No
Hospitality,Male,Large,76,52,23,Low,Medium,8,Yes
Banking,Male,Medium,72,50,13,Medium,Medium,10,Yes
Banking,Male,Small,31,14,7,Medium,High,3,Yes
Banking,Male,Large,59,18,7,High,Medium,1,Yes
Hospitality,Male,Medium,85,25,3,High,Low,7,Yes
Health Care,Male,Medium,100,49,13,High,Low,1,No
Hospitality,Female,Medium,29,36,6,High,High,6,Yes
Banking,Male,Large,73,12,0,Low,High,1,Yes
Health Care,Male,Small,113,21,10,Low,Medium,1,No
Health Care,Male,Small,16,51,17,High,High,17,Yes
Hospitality,Male,Small,20,31,11,Medium,High,9,Yes
Hospitality,Male,Large,64,30,8,High,High,9,Yes
Hospitality,Male,Medium,19,50,18,Low,Medium,5,Yes
Banking,Female,Medium,25,31,12,Medium,Medium,5,Yes
Hospitality,Male,Small,31,20,5,Medium,Low,3,Yes
Health Care,Male,Medium,24,19,4,Medium,High,5,No
Banking,Male,Large,102,36,18,Low,High,8,Yes
Banking,Male,Medium,29,22,4,Medium,High,2,No
Banking,Male,Large,35,20,6,Medium,Medium,3,Yes
Banking,Female,Medium,62,31,7,Medium,Medium,6,Yes
Health Care,Male,Large,82,18,7,Low,Medium,4,Yes
Health Care,Male,Small,55,80,13,High,Low,14,Yes
Hospitality,Male,Medium,30,46,17,Medium,Medium,14,Yes
Banking,Female,Large,31,61,22,Medium,Low,4,No
Hospitality,Male,Large,32,29,16,Medium,High,5,No
Hospitality,Male,Small,51,98,25,High,Medium,25,Yes
Banking,Male,Medium,32,57,17,Medium,High,15,Yes
Hospitality,Male,Small,105,39,12,High,High,2,Yes
Hospitality,Female,Large,140,14,7,Medium,Low,3,No
Hospitality,Male,Medium,16,12,8,Medium,Low,1,Yes
Hospitality,Male,Medium,81,38,7,Medium,High,10,Yes
Banking,Female,Small,17,22,5,Medium,High,4,Yes
Hospitality,Male,Large,71,68,21,Medium,Low,7,Yes
Hospitality,Male,Medium,38,44,15,High,Low,12,Yes
Hospitality,Male,Small,13,98,46,Low,High,15,No
Health Care,Male,Medium,19,32,11,High,Low,4,Yes
Hospitality,Male,Small,25,41,6,High,Low,3,Yes
Banking,Female,Medium,49,54,13,High,High,16,No
Banking,Male,Large,49,20,2,Medium,Medium,4,Yes
Hospitality,Male,Large,76,42,7,High,Medium,14,No
Banking,Female,Medium,31,28,10,Medium,High,2,Yes
Hospitality,Male,Large,92,110,50,Low,Medium,20,Yes
Health Care,Male,Medium,33,23,6,High,High,6,Yes
Hospitality,Male,Small,59,34,13,Low,Low,2,Yes
Hospitality,Female,Large,287,31,9,High,Low,7,Yes
Hospitality,Female,Small,73,124,55,Low,Low,17,Yes
Hospitality,Female,Small,16,47,25,Low,Low,4,Yes
Hospitality,Female,Large,68,15,5,Low,High,2,No
Health Care,Male,Small,27,46,10,Medium,High,7,Yes
Hospitality,Male,Large,144,64,30,Low,High,15,Yes
Health Care,Female,Large,57,33,15,Low,Medium,2,Yes
Health Care,Male,Medium,41,10,0,High,High,1,No
Banking,Male,Small,35,34,7,High,Medium,1,Yes
Banking,Male,Medium,19,19,5,High,Low,3,Yes
Banking,Male,Small,32,22,4,High,Medium,1,Yes
Banking,Female,Medium,24,21,4,Medium,Medium,5,No
Banking,Male,Large,44,44,10,High,Low,10,No
Health Care,Male,Medium,24,67,26,Medium,Low,10,Yes
Banking,Female,Medium,19,32,10,Medium,Low,9,No
Banking,Male,Medium,17,43,11,High,Medium,3,Yes
Health Care,Male,Medium,49,43,18,Low,Low,11,Yes
Banking,Male,Large,206,30,3,High,High,7,No
Health Care,Female,Small,41,47,16,Medium,Medium,16,Yes
Banking,Female,Large,53,33,13,Low,Medium,6,Yes
Banking,Female,Medium,28,15,9,Low,High,2,Yes
Health Care,Male,Small,31,71,35,Low,Medium,9,No
Hospitality,Male,Small,62,16,6,High,Medium,2,Yes
Health Care,Female,Medium,22,82,18,High,High,25,Yes
Health Care,Female,Medium,36,44,11,Medium,Medium,10,Yes
Health Care,Male,Small,29,43,10,Medium,High,12,Yes
Banking,Male,Large,197,60,27,Low,Medium,10,Yes
Banking,Female,Medium,40,12,0,High,Low,1,No
Health Care,Female,Large,124,47,17,Low,Medium,6,Yes
Health Care,Female,Small,14,32,13,High,Low,9,Yes
Health Care,Female,Medium,28,15,5,High,Low,3,No
Hospitality,Male,Small,35,75,19,High,Low,10,Yes
Hospitality,Male,Small,40,57,20,Medium,Low,14,Yes
Health Care,Male,Large,165,29,12,High,High,3,Yes
Hospitality,Male,Small,34,16,5,Medium,High,2,No
Health Care,Female,Medium,26,54,15,High,High,18,Yes
Health Care,Male,Small,31,27,9,High,Low,1,Yes
Hospitality,Male,Medium,56,25,14,Medium,Medium,3,Yes
Health Care,Male,Large,125,25,8,Medium,Low,5,Yes
Health Care,Male,Medium,109,35,12,High,Medium,9,Yes
Banking,Male,Large,43,102,20,High,High,25,No
Health Care,Male,Medium,50,50,18,High,Low,4,Yes
Hospitality,Male,Large,43,71,33,Low,High,24,Yes
Health Care,Male,Medium,28,40,20,Low,High,4,No
Banking,Female,Medium,20,35,4,High,High,10,Yes
Health Care,Male,Medium,63,36,12,Low,High,2,No
Hospitality,Male,Large,183,21,7,Low,High,5,Yes
Banking,Male,Medium,16,70,31,Low,High,17,Yes
Health Care,Male,Medium,70,29,9,Medium,High,4,Yes
Banking,Male,Medium,24,11,2,Medium,Medium,1,Yes
Banking,Female,Small,28,36,12,Medium,Medium,6,Yes
Health Care,Female,Large,116,22,2,Low,Low,5,Yes
Health Care,Male,Medium,38,17,5,High,High,3,Yes
Hospitality,Male,Medium,24,63,15,High,High,19,Yes
Hospitality,Female,Medium,92,76,37,Low,Medium,8,Yes
Hospitality,Female,Small,34,50,21,Low,High,4,Yes
Banking,Male,Large,197,95,32,Medium,High,25,Yes
Banking,Male,Large,147,40,10,High,Low,2,Yes
Health Care,Male,Large,160,57,16,High,Medium,16,Yes
Health Care,Male,Small,23,21,8,High,Medium,3,Yes
Health Care,Male,Medium,157,46,11,High,High,3,Yes
Health Care,Male,Large,149,23,11,Low,Medium,6,Yes
Banking,Male,Medium,28,112,50,Low,High,9,Yes
Hospitality,Male,Medium,89,44,14,Medium,Medium,10,No
Banking,Female,Large,117,21,0,High,Low,1,No
Hospitality,Female,Medium,57,19,7,Medium,Low,3,Yes
Hospitality,Male,Medium,15,32,5,High,Low,9,Yes
Health Care,Female,Small,12,69,19,High,Low,18,Yes
Hospitality,Male,Small,41,36,6,High,Medium,9,Yes
Banking,Female,Small,20,19,6,Low,Medium,3,No
Banking,Male,Large,33,24,8,Low,Low,6,Yes
Health Care,Male,Medium,26,40,11,High,Medium,9,No
Hospitality,Male,Medium,74,25,10,Low,Medium,2,No
Banking,Male,Large,69,33,16,Low,Low,7,Yes
Banking,Female,Medium,46,22,0,High,Medium,6,Yes
Health Care,Male,Medium,67,27,12,High,High,4,Yes
Banking,Male,Small,21,31,10,Low,Low,8,Yes
Health Care,Male,Large,30,31,10,High,Low,9,Yes
Health Care,Male,Small,21,82,38,Low,High,25,No
Banking,Male,Small,90,36,14,Medium,High,5,No
Banking,Male,Small,28,35,9,Medium,Medium,7,Yes
Health Care,Female,Small,33,26,5,High,Medium,2,No
Hospitality,Female,Small,47,38,18,Low,High,7,Yes
Hospitality,Female,Medium,19,11,3,Medium,High,1,Yes
Health Care,Male,Small,45,15,4,Low,Low,2,Yes
Health Care,Male,Medium,27,12,4,High,Medium,2,Yes
Health Care,Male,Small,24,89,29,High,Medium,9,Yes
Health Care,Male,Small,19,28,8,Medium,Low,7,Yes
Hospitality,Male,Medium,21,64,30,Low,High,13,Yes
Banking,Female,Large,58,42,15,Medium,Medium,5,Yes
Health Care,Male,Large,36,40,12,Medium,Medium,6,Yes
Hospitality,Female,Large,146,20,7,High,High,2,Yes
Hospitality,Female,Medium,27,47,18,Medium,Low,11,Yes
Health Care,Female,Medium,50,12,1,High,Low,1,Yes
Banking,Female,Medium,27,21,11,Medium,High,5,No
Hospitality,Male,Medium,23,18,6,Medium,Medium,2,Yes
Banking,Male,Small,43,63,25,Medium,High,12,No
Hospitality,Male,Medium,47,41,15,Medium,Low,9,Yes
Banking,Male,Medium,23,53,13,High,Medium,10,Yes
Banking,Male,Medium,46,45,11,High,Low,2,Yes
Banking,Male,Medium,15,41,16,Medium,High,9,No
Hospitality,Male,Small,16,38,13,Low,Low,10,Yes
Health Care,Female,Medium,57,38,18,Low,Medium,1,Yes
Hospitality,Female,Small,25,20,10,Medium,High,4,No
Health Care,Male,Large,44,9,3,High,High,1,Yes
Hospitality,Male,Small,29,32,2,High,High,10,No
Banking,Male,Small,27,25,7,Low,Medium,2,No
Health Care,Male,Large,92,47,21,Low,Medium,3,Yes
Banking,Female,Medium,18,21,4,Medium,High,1,No
Health Care,Male,Small,54,29,9,High,High,6,Yes
Banking,Male,Medium,17,22,6,Medium,High,1,Yes
Health Care,Female,Small,27,61,23,Medium,High,15,Yes
Banking,Female,Small,42,30,16,Medium,High,1,Yes
Health Care,Male,Small,22,15,6,Low,Low,1,Yes
Hospitality,Male,Medium,93,36,9,Medium,High,9,No
Health Care,Male,Large,117,57,15,High,High,20,Yes
Banking,Male,Medium,33,67,17,High,High,18,Yes
Hospitality,Male,Medium,22,31,11,Medium,High,1,Yes
Health Care,Male,Small,13,25,15,Low,Medium,3,Yes
Hospitality,Male,Medium,68,29,3,High,Medium,6,Yes
Hospitality,Male,Large,43,15,6,High,Low,1,Yes
