Sector,CEO_Gender,Size,Security_Invest,Security_Breach_Att,Succ_Sec_Breaches,Sec_Rating,CEO_Sec_Exp,LOT_in_Business,Stock_Market
Hospitality,Male,Large,156,50,26,Medium,Medium,25,No
Banking,Male,Small,22,11,2,High,High,8,Yes
Health Care,Male,Large,35,49,24,Medium,Medium,8,No
Banking,Male,Large,47,11,1,Low,High,18,Yes
Hospitality,Female,Medium,263,189,75,Medium,High,6,No
Hospitality,Male,Large,180,31,17,Medium,Low,3,Yes
Hospitality,Male,Large,146,26,10,Low,High,2,Yes
Banking,Male,Large,19,16,2,Low,High,14,Yes
Health Care,Female,Large,86,27,15,Low,Low,2,Yes
Banking,Female,Small,18,20,4,Low,High,14,No
Banking,Male,Large,41,20,2,High,High,19,No
Banking,Female,Small,25,9,1,Low,High,19,Yes
Banking,Male,Large,16,19,3,Low,Low,7,Yes
Banking,Female,Medium,15,11,2,High,Medium,3,Yes
Hospitality,Male,Large,165,24,7,High,Low,22,No
Hospitality,Male,Large,199,58,28,Medium,Medium,13,No
Health Care,Male,Large,70,41,13,High,Low,20,Yes
Banking,Female,Small,48,11,1,High,Low,20,No
Hospitality,Male,Large,192,83,44,Low,Medium,16,Yes
Health Care,Male,Small,36,54,18,Medium,High,22,Yes
Hospitality,Female,Small,107,202,69,Low,High,5,Yes
Banking,Male,Large,10,20,3,Low,Low,20,No
Hospitality,Male,Small,30,240,119,High,Medium,5,Yes
Health Care,Male,Small,34,52,11,Low,High,8,No
Hospitality,Male,Medium,448,58,22,Low,Low,25,Yes
Banking,Female,Large,30,11,1,Medium,Low,21,No
Hospitality,Male,Medium,240,20,6,Medium,High,9,Yes
Hospitality,Female,Medium,128,287,113,High,Medium,17,Yes
Banking,Male,Large,48,8,1,Low,Low,21,No
Health Care,Female,Medium,97,33,17,Low,Low,18,Yes
Health Care,Male,Small,26,45,15,Low,Medium,11,No
Health Care,Male,Medium,129,30,8,High,Low,5,Yes
Hospitality,Male,Small,20,290,163,High,Medium,2,Yes
Hospitality,Male,Large,145,60,24,Medium,Medium,22,No
Banking,Female,Large,62,16,2,High,High,6,No
Health Care,Female,Medium,136,15,6,High,Medium,5,No
Banking,Male,Small,24,13,1,Low,Low,23,No
Hospitality,Male,Large,159,77,36,Medium,Medium,18,Yes
Banking,Female,Small,33,13,3,Medium,Medium,21,No
Hospitality,Male,Medium,242,192,107,High,Low,15,No
Health Care,Male,Medium,15,31,15,Medium,High,14,No
Health Care,Female,Large,39,49,23,High,Low,11,Yes
Health Care,Male,Small,25,59,25,High,Medium,19,Yes
Hospitality,Female,Medium,419,83,52,Medium,Medium,7,No
Health Care,Male,Large,70,30,9,Low,High,20,No
Health Care,Male,Small,36,56,15,High,High,14,Yes
Banking,Female,Large,79,19,2,High,Medium,11,Yes
Hospitality,Male,Medium,21,79,48,High,High,16,No
Banking,Female,Medium,25,18,3,Medium,Low,3,No
Banking,Male,Medium,12,25,4,Low,Low,18,No
Hospitality,Male,Small,105,318,145,Medium,Medium,11,Yes
Health Care,Male,Medium,109,12,4,Medium,Low,2,Yes
Health Care,Male,Medium,97,23,6,High,Medium,3,Yes
Health Care,Male,Small,31,35,8,Medium,Medium,15,Yes
Health Care,Male,Large,62,38,14,Medium,Medium,17,Yes
Banking,Male,Medium,17,16,2,Medium,High,20,Yes
Hospitality,Male,Small,88,296,106,Low,Low,21,Yes
Hospitality,Male,Small,129,133,60,Medium,Medium,7,Yes
Hospitality,Male,Large,186,59,26,High,Low,16,Yes
Hospitality,Female,Medium,260,284,172,Medium,High,16,No
Hospitality,Female,Small,49,298,118,Medium,High,23,Yes
Health Care,Male,Small,28,39,17,Medium,Low,3,Yes
Health Care,Male,Large,84,30,15,High,Medium,15,No
Banking,Male,Small,36,10,2,Low,Medium,1,Yes
Banking,Female,Medium,24,22,4,Medium,Low,5,No
Health Care,Male,Small,25,34,14,High,High,7,Yes
Hospitality,Female,Large,166,82,32,High,Medium,15,Yes
Banking,Female,Small,28,11,3,High,Low,15,Yes
Health Care,Male,Large,57,51,16,Medium,Medium,4,Yes
Banking,Male,Medium,24,18,3,Medium,Medium,6,Yes
Health Care,Female,Small,27,17,7,Low,High,14,No
Banking,Male,Large,28,22,3,Low,Low,4,Yes
Banking,Male,Small,39,18,2,Medium,Medium,9,Yes
Health Care,Female,Large,75,53,25,High,High,23,Yes
Health Care,Female,Small,36,49,13,Low,High,21,Yes
Health Care,Male,Medium,148,15,7,Low,Low,23,Yes
Banking,Female,Medium,24,19,3,Low,Medium,8,No
Hospitality,Male,Large,211,74,33,Medium,Low,3,Yes
Health Care,Male,Medium,116,12,3,Medium,Low,18,Yes
Hospitality,Male,Small,27,122,53,Medium,High,16,Yes
Banking,Male,Medium,15,21,2,High,Low,7,No
Hospitality,Male,Medium,377,319,199,Low,Low,9,Yes
Hospitality,Female,Large,120,58,25,High,High,13,No
Banking,Female,Medium,12,16,3,Low,Low,16,Yes
Health Care,Male,Large,39,32,17,Medium,Low,15,Yes
Hospitality,Male,Large,147,52,22,High,High,8,No
Banking,Female,Small,29,16,4,Low,Medium,2,No
Hospitality,Male,Medium,65,127,43,High,Medium,21,No
Banking,Male,Medium,17,6,0,High,High,1,Yes
Hospitality,Male,Large,141,68,24,Low,Medium,21,Yes
Hospitality,Male,Large,198,72,40,Medium,High,3,No
Health Care,Male,Medium,115,22,9,Low,Medium,4,Yes
Hospitality,Female,Medium,170,16,5,Low,High,20,Yes
Hospitality,Male,Medium,433,135,68,Low,Medium,16,Yes
Health Care,Male,Medium,143,60,17,High,High,11,Yes
Banking,Male,Small,41,17,3,Low,High,21,Yes
Health Care,Male,Small,34,51,17,Medium,Low,17,Yes
Hospitality,Female,Small,36,138,81,Low,Low,9,Yes
Hospitality,Female,Large,202,70,28,Low,High,17,Yes
Hospitality,Female,Small,30,121,57,Low,High,2,Yes
Hospitality,Male,Large,161,43,20,Low,Low,17,Yes
Health Care,Male,Small,35,48,19,Medium,Low,22,No
Banking,Female,Large,29,16,3,Low,High,19,No
Banking,Male,Large,79,22,2,High,Low,24,No
Hospitality,Male,Large,161,70,33,High,Low,3,Yes
Banking,Male,Large,81,10,1,Low,Low,15,No
Health Care,Female,Small,40,36,14,Medium,Medium,10,Yes
Hospitality,Female,Large,114,75,34,High,High,18,Yes
Health Care,Female,Small,31,17,7,Low,High,5,Yes
Health Care,Female,Large,43,55,31,High,High,9,No
Banking,Male,Large,84,10,1,Low,Low,2,Yes
Banking,Female,Large,75,15,1,Medium,Medium,2,No
Hospitality,Male,Small,53,244,141,High,Medium,7,Yes
Banking,Male,Medium,14,17,3,Low,Low,22,Yes
Health Care,Male,Large,44,34,18,Medium,Medium,18,No
Health Care,Male,Large,56,54,24,High,Medium,12,Yes
Banking,Male,Small,48,18,2,Low,High,17,No
Banking,Male,Small,31,14,3,Medium,Low,12,No
Banking,Female,Small,15,18,2,Medium,High,19,No
Health Care,Female,Medium,71,38,19,High,High,21,No
Hospitality,Female,Large,187,30,17,Medium,Low,21,Yes
Hospitality,Female,Large,224,67,27,High,High,16,Yes
Hospitality,Female,Medium,394,22,9,High,Medium,16,Yes
Health Care,Female,Large,56,25,13,Low,Medium,9,Yes
Hospitality,Male,Large,107,89,43,Medium,Medium,1,No
Banking,Male,Medium,18,21,2,High,Low,10,Yes
Hospitality,Female,Medium,351,147,45,Medium,Low,12,Yes
Banking,Male,Medium,13,10,2,High,Low,8,Yes
Health Care,Male,Medium,145,18,4,Low,High,7,Yes
Hospitality,Female,Small,62,164,92,High,Low,23,Yes
Hospitality,Male,Medium,146,113,36,Medium,Medium,13,Yes
Hospitality,Female,Small,109,133,77,Medium,High,15,Yes
Health Care,Female,Small,34,58,22,Low,Medium,13,Yes
Health Care,Male,Medium,79,58,17,Low,Low,15,No
Banking,Female,Medium,24,13,2,Medium,Low,20,No
Hospitality,Male,Small,69,255,95,Low,Medium,5,Yes
Health Care,Male,Large,48,34,12,High,Medium,6,Yes
Banking,Female,Small,47,8,2,High,High,12,No
Banking,Female,Large,57,15,2,Low,High,5,No
Hospitality,Female,Small,101,183,55,Low,High,2,Yes
Hospitality,Female,Large,87,32,17,High,Medium,1,Yes
Health Care,Male,Large,84,46,25,Low,Medium,4,Yes
Health Care,Male,Small,35,35,9,Medium,High,8,No
Banking,Male,Small,43,10,2,Low,Medium,24,No
Health Care,Male,Medium,100,40,15,Low,Medium,3,Yes
Hospitality,Male,Small,36,303,181,Low,High,18,Yes
Banking,Female,Small,34,11,1,Low,Low,5,Yes
Banking,Female,Large,50,20,2,High,Low,3,Yes
Health Care,Male,Small,31,21,9,Medium,High,10,No
Hospitality,Male,Small,27,70,27,Medium,Medium,25,Yes
Banking,Female,Large,10,10,1,High,Low,4,No
Health Care,Male,Medium,78,45,23,High,Low,5,Yes
Hospitality,Male,Medium,263,197,95,Medium,High,7,Yes
Banking,Male,Small,36,11,3,High,High,9,No
Hospitality,Male,Small,81,54,20,Low,Medium,16,No
Health Care,Male,Large,90,46,19,Low,High,23,Yes
Health Care,Male,Small,39,23,6,Medium,Low,17,Yes
Banking,Male,Large,30,12,1,Low,High,4,No
Hospitality,Female,Small,34,125,41,High,High,7,No
Banking,Male,Small,43,16,2,Low,High,17,No
Health Care,Male,Medium,76,28,10,Medium,Low,19,No
Banking,Male,Large,42,21,3,High,Low,19,No
Hospitality,Male,Medium,207,292,136,Medium,High,19,Yes
Banking,Male,Large,29,22,2,Medium,High,25,No
Banking,Female,Medium,12,22,4,Medium,Low,17,Yes
Hospitality,Female,Small,31,126,54,Low,Medium,24,Yes
Banking,Male,Medium,12,9,0,High,Low,13,No
Health Care,Male,Small,31,33,14,Low,Medium,10,No
Banking,Male,Medium,19,21,2,Medium,Low,5,Yes
Hospitality,Male,Small,68,233,75,Medium,Low,3,Yes
Banking,Male,Medium,15,15,2,High,Medium,20,Yes
Banking,Male,Medium,13,7,1,Medium,Medium,3,Yes
Hospitality,Male,Medium,366,57,28,High,Medium,4,No
Banking,Female,Small,29,18,4,High,Medium,4,No
Health Care,Male,Medium,124,56,23,High,Low,10,Yes
Health Care,Male,Small,40,20,9,Medium,High,22,Yes
Health Care,Female,Small,33,42,19,High,Low,19,Yes
Hospitality,Female,Medium,184,221,82,Low,High,15,Yes
Banking,Male,Small,19,18,2,Low,Medium,3,Yes
Hospitality,Female,Medium,108,313,130,High,High,4,No
Hospitality,Male,Small,93,120,54,Medium,Low,9,Yes
Health Care,Female,Medium,39,44,22,High,Low,2,No
Banking,Male,Large,49,11,1,High,Medium,2,No
Health Care,Male,Medium,15,33,13,Medium,High,1,No
Hospitality,Male,Medium,399,111,39,Low,Low,10,No
Health Care,Female,Large,81,44,19,Low,High,24,Yes
Banking,Male,Large,61,15,2,High,Low,4,No
Hospitality,Female,Small,99,126,49,Medium,High,13,Yes
Banking,Female,Large,51,14,2,High,Medium,25,Yes
Banking,Male,Medium,16,17,3,High,Low,17,No
Health Care,Male,Medium,119,29,9,Medium,Low,11,No
Health Care,Male,Small,39,50,11,High,Medium,7,Yes
Hospitality,Male,Small,34,181,87,High,Low,1,Yes
Health Care,Male,Large,35,53,23,Medium,Low,2,Yes
Health Care,Male,Large,87,53,21,Medium,Low,7,Yes
Health Care,Male,Large,83,31,13,Low,High,25,No
Hospitality,Female,Large,105,35,10,Low,Low,25,No
Banking,Female,Small,21,20,2,Low,High,3,Yes
Hospitality,Male,Medium,160,57,21,Medium,High,25,Yes
Health Care,Male,Medium,60,56,21,Medium,High,20,No
Hospitality,Male,Small,102,32,12,High,High,4,Yes
Health Care,Male,Medium,118,43,10,Medium,Low,9,Yes
Health Care,Female,Large,49,40,12,Medium,Medium,5,Yes
Hospitality,Male,Large,178,83,42,Low,High,6,Yes
Health Care,Female,Large,37,45,22,Low,Low,22,No
Banking,Male,Medium,20,20,2,Low,High,2,Yes
Health Care,Male,Medium,91,28,11,High,Medium,23,No
Health Care,Male,Small,30,17,8,Low,Medium,13,No
Hospitality,Female,Small,46,307,97,High,High,23,Yes
Banking,Male,Large,85,8,1,High,Medium,6,No
Health Care,Male,Large,90,38,19,Medium,High,24,Yes
Health Care,Male,Large,72,42,23,Medium,Low,6,Yes
Health Care,Female,Small,39,41,18,Low,High,3,Yes
Banking,Female,Small,49,11,3,Medium,High,16,Yes
Banking,Male,Small,38,9,2,High,High,11,Yes
Health Care,Male,Medium,136,21,7,Low,High,19,Yes
Health Care,Female,Medium,31,59,25,Medium,Medium,23,No
Hospitality,Female,Medium,163,277,131,Medium,Medium,25,Yes
Health Care,Male,Large,61,47,26,High,Low,12,Yes
Health Care,Male,Large,75,46,17,High,Low,15,Yes
Banking,Male,Medium,10,18,2,Low,High,11,Yes
Hospitality,Male,Large,210,47,20,Low,Medium,5,No
Hospitality,Male,Small,94,179,91,Medium,Medium,17,Yes
Health Care,Female,Large,77,31,13,High,Low,23,Yes
Health Care,Male,Large,54,29,16,High,Low,8,No
Health Care,Male,Small,36,53,17,Low,Medium,19,Yes
Health Care,Male,Medium,69,45,17,Medium,High,5,Yes
Health Care,Male,Small,32,54,10,High,Medium,8,Yes
Banking,Male,Large,37,8,1,Low,Medium,22,No
Health Care,Female,Small,32,37,8,High,Medium,5,Yes
Health Care,Male,Small,32,49,9,High,Low,1,Yes
Banking,Male,Large,62,15,2,Low,Medium,19,No
Hospitality,Female,Small,98,196,91,Medium,High,21,Yes
Health Care,Male,Medium,49,30,13,Medium,High,7,Yes
Health Care,Male,Small,37,59,28,High,Low,25,Yes
Health Care,Female,Medium,50,19,6,Medium,High,6,No
Banking,Female,Large,12,20,2,Low,Medium,8,No
Hospitality,Male,Large,111,29,11,Low,High,5,Yes
Hospitality,Male,Small,104,279,127,Low,Low,10,Yes
Hospitality,Male,Large,208,34,12,Medium,High,13,No
Hospitality,Male,Large,190,78,37,Low,Low,16,Yes
Health Care,Male,Medium,41,50,26,Medium,Medium,18,Yes
Banking,Female,Small,31,15,2,Medium,High,21,Yes
Banking,Male,Medium,13,13,2,High,High,2,Yes
Banking,Male,Medium,22,18,4,High,Medium,12,Yes
Health Care,Female,Medium,150,50,14,Medium,Low,21,Yes
Health Care,Male,Medium,113,48,22,Low,Low,3,Yes
Banking,Male,Medium,11,12,2,Low,Medium,19,Yes
Banking,Male,Medium,14,23,4,Low,High,4,No
Banking,Male,Large,69,21,3,Medium,High,1,Yes
Health Care,Male,Medium,125,15,4,High,High,24,Yes
Hospitality,Female,Large,146,43,18,Medium,Medium,19,No
Health Care,Male,Large,50,41,12,Low,Medium,15,Yes
Health Care,Female,Large,57,28,11,Low,Medium,25,No
Health Care,Male,Medium,95,60,29,Low,Low,20,Yes
Hospitality,Male,Small,71,54,18,Low,Medium,17,Yes
Banking,Female,Small,41,9,1,High,High,8,Yes
Banking,Male,Small,25,20,5,Low,High,5,Yes
Health Care,Male,Small,33,16,6,Medium,High,12,Yes
Banking,Female,Medium,24,13,1,High,Medium,23,Yes
Banking,Male,Medium,15,12,2,Low,High,10,Yes
Health Care,Male,Large,72,27,10,High,Low,17,Yes
Banking,Male,Large,54,13,2,Low,High,22,No
Health Care,Female,Small,32,49,10,Medium,Low,23,Yes
Banking,Female,Medium,13,10,1,Medium,Low,25,No
Banking,Female,Medium,16,19,3,High,Low,3,Yes
Hospitality,Male,Medium,446,53,31,Low,High,11,No
Hospitality,Male,Large,137,33,12,Medium,High,16,No
Banking,Male,Medium,21,17,3,High,High,9,Yes
Health Care,Male,Small,36,53,20,High,Medium,10,Yes
Banking,Female,Large,48,19,2,High,Low,6,No
Banking,Male,Small,43,14,2,High,Medium,9,Yes
Hospitality,Female,Small,82,135,40,High,Low,9,Yes
Health Care,Male,Large,69,46,15,High,High,13,No
Banking,Male,Medium,16,18,3,Low,Low,23,Yes
Health Care,Male,Medium,127,34,12,Low,High,25,No
Health Care,Male,Large,64,47,25,High,Medium,10,Yes
Banking,Male,Large,54,14,1,Medium,Low,10,No
Banking,Female,Medium,12,22,5,Medium,Low,12,Yes
Banking,Male,Large,69,20,3,Medium,High,15,Yes
Health Care,Male,Medium,74,51,14,High,Low,17,Yes
Health Care,Male,Large,50,28,12,Low,Medium,23,Yes
Health Care,Male,Small,36,51,21,High,Medium,20,Yes
Hospitality,Male,Large,106,74,25,Medium,High,4,Yes
Banking,Female,Small,50,20,3,High,Medium,22,Yes
Health Care,Male,Large,70,33,12,Medium,High,15,No
Hospitality,Female,Large,161,24,8,Low,Medium,4,Yes
Banking,Female,Large,16,11,2,High,Low,21,No
Banking,Male,Medium,11,24,4,Low,Medium,7,No
